Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
2.0,4.0,0.9754499999999999,5e-05,7.168914,6.175707,5.43824,3.987916,5.298801999999999,4.53857,6.0,29.271114,0.975454,29.268102,0.972442
2.0,6.0,2.12505,0.0001,2.540308,0.9783200000000001,0.402399,1.442764,0.772771,1.365737,8.0,31.39616,2.125046000000001,31.407799999999998,2.139697999999999
3.0,4.0,12.91442,0.05,14.910809,14.810727,14.164197,12.045544,14.663091,13.085099,7.0,39.245073,12.914413,39.244037000000006,12.913377000000008
3.0,6.0,6.09484,0.00019,9.232785,7.940949000000001,7.752871000000001,8.180128,7.896722,8.443136,9.0,45.339912,6.094839,45.340551,6.096513999999992
3.0,8.0,0.3692799999999998,0.00064,2.201045,1.526354,1.578897,2.729825,1.8809,2.585378,11.0,45.709191000000004,0.3692790000000059,45.64014400000001,0.29959300000000866
4.0,4.0,29.576,0.00545,21.718058,22.598407,22.003544,20.863552,23.464089,22.44397,8.0,56.499480000000005,29.575998000000006,56.499480000000005,29.57590800000001
4.0,6.0,8.47682,9e-05,15.295801,14.219324,14.519667,14.519215,14.223402,15.098209,10.0,64.9763,8.47681999999999,64.97711000000001,8.477630000000005
4.0,8.0,3.67236,0.00191,5.977037999999999,5.794539,6.157269,6.977888,5.306878,6.376236,12.0,68.648664,3.6723640000000017,68.649912,3.67280199999999
4.0,10.0,1.2659,0.13226,0.574371,-0.322965,-1.625082,-1.273506,-0.910027,-1.362232,14.0,69.914558,1.265894000000003,69.914558,1.264645999999999
5.0,4.0,31.4027,0.02517,28.077667,29.099148,28.96267,26.616667,29.616972,28.267757,9.0,56.313629999999996,31.402694999999998,56.31444,31.595298
5.0,6.0,19.89142,0.0009,21.594548,20.771575,20.99244,20.858973,21.122226,22.061153,11.0,76.205052,19.891422,76.20482100000001,19.890381000000012
5.0,8.0,8.24839,0.001,10.939263,11.216008,11.623707,11.819778,10.470754,11.599785,13.0,84.453447,8.248395000000002,84.453226,8.248404999999991
5.0,10.0,3.74634,0.02106,4.575429,3.728081,2.58416,2.585247,3.196183,2.160013,15.0,88.19977499999999,3.746327999999991,88.18575,3.732523999999998
5.0,12.0,1.38456,0.20518,3.412372,1.758393,0.7475430000000001,1.567249,1.666139,1.153445,17.0,89.584339,1.3845640000000117,89.52983700000001,1.344087000000016
6.0,4.0,35.50823,0.01824,34.145964,35.594818,35.82652,33.380666,36.22666,35.320643,10.0,60.320420000000006,35.508228,60.32041,35.53801
6.0,6.0,31.84131,7e-05,27.405079,26.705332,27.043863,27.179789,27.584604,29.038014,12.0,92.16172800000001,31.841308000000005,92.16172800000001,31.84131800000001
6.0,8.0,13.12274,0.0,15.429157,16.194465,16.677597,16.575297,15.172257,16.6953,14.0,105.28446600000001,13.122737999999998,105.28446600000001,13.122737999999998
6.0,10.0,5.468389999999999,0.00358,8.22524,7.484937,6.480224,6.214709,6.961286,5.427899,16.0,110.752864,5.468397999999993,110.752864,5.468397999999993
6.0,12.0,4.9175,0.03021,6.481444000000001,5.096776,4.081804,4.699483,4.707417,4.034526000000001,18.0,115.67035800000001,4.917494000000005,115.66344600000001,4.910582000000005
6.0,14.0,3.55834,0.23257,5.862271,3.854029,3.40364,3.95867,3.782776,3.452986,20.0,119.22870000000002,3.5583420000000103,119.17466000000002,3.5112140000000096
7.0,6.0,35.10070999999999,0.04615,32.045608,31.797406,32.194724,31.5708,32.35559600000001,33.691501,13.0,94.105219,35.100713000000006,94.105219,35.10072400000001
7.0,8.0,21.38668,0.00027,20.295356,21.175005,21.693807,21.462914,20.155887,22.237839,15.0,115.4919,21.386680999999996,115.491885,21.38666599999999
7.0,10.0,8.37399,0.015,12.181319,11.670765,10.814787,10.448534,11.285469,9.960134,17.0,123.86589300000001,8.373993000000013,123.86460100000001,8.372716000000011
7.0,12.0,8.15643,0.02223,10.196742,8.875117999999999,8.023387,8.305050999999999,8.543529,7.843677,19.0,132.022317,8.156423999999973,132.01646499999998,8.151863999999975
7.0,14.0,6.767,0.13505,9.050459,7.258461,6.829877000000001,7.141798,7.043982000000001,6.631759,21.0,138.78931500000002,6.766998000000029,138.770079,6.753614000000027
8.0,6.0,40.04947,0.024,36.504946,36.668763,37.242439,36.382403,37.147539,38.877804,14.0,98.731892,40.049468,98.73231200000001,40.18323200000001
8.0,8.0,28.88742,3e-05,24.950001,25.933971,26.509316,26.284223,24.813997,27.725897,16.0,127.619296,28.887404000000004,127.619296,28.886983999999998
8.0,10.0,12.18845,0.0,15.889822,15.579854,14.894964,14.595311,15.331848,14.417721,18.0,139.807746,12.188450000000003,139.80644999999998,12.187153999999978
8.0,12.0,11.56365,0.00088,13.714356,12.364289,11.754238,11.782787,12.08073,11.497062,20.0,151.3714,11.563653999999985,151.3701,11.563650000000024
8.0,14.0,10.65577,0.05693,12.025834,10.429765,9.994679,10.10954,10.071636,9.59912,22.0,162.027162,10.65576200000001,162.026062,10.655961999999988
